Business Name,Business Link
SEPHORA CORNER LEIPZIG,https://www.google.com/maps/place/SEPHORA+CORNER+LEIPZIG/data=!4m7!3m6!1s0x47a6f99d7d04f50f:0x16074b86a44f2d07!8m2!3d51.339397!4d12.376996!16s%2Fg%2F11hz9bf7s8!19sChIJD_UEfZ35pkcRBy1PpIZLBxY?authuser=0&hl=en&rclk=1
KIKO,https://www.google.com/maps/place/KIKO/data=!4m7!3m6!1s0x47bda6de1ae9c02d:0x87a841a35304d57a!8m2!3d50.118338!4d8.5286211!16s%2Fg%2F1q2v_jlr3!19sChIJLcDpGt6mvUcRetUEU6NBqIc?authuser=0&hl=en&rclk=1
PhiAcademy Germany by Nicole Kern!,https://www.google.com/maps/place/PhiAcademy+Germany+by+Nicole+Kern!/data=!4m7!3m6!1s0x47bd0eaef114ab7b:0xccc31407a8d23a5!8m2!3d50.1138971!4d8.677225!16s%2Fg%2F11r8r10c7!19sChIJe6sU8a4OvUcRpSONekAxzAw?authuser=0&hl=en&rclk=1
MAC,https://www.google.com/maps/place/MAC/data=!4m7!3m6!1s0x47a8505422bafd4b:0xc9261a2bbdfa7cfa!8m2!3d52.5018865!4d13.3409826!16s%2Fg%2F11b70cnpr8!19sChIJS_26IlRQqEcR-nz6vSsaJsk?authuser=0&hl=en&rclk=1
SEPHORA CORNER HANNOVER,https://www.google.com/maps/place/SEPHORA+CORNER+HANNOVER/data=!4m7!3m6!1s0x47b075f762c0f889:0x3796871751169d59!8m2!3d52.375792!4d9.739298!16s%2Fg%2F11jcn11cd8!19sChIJifjAYvd1sEcRWZ0WUReHljc?authuser=0&hl=en&rclk=1
Blank Cosmetic - Kosmetikstudio Prenzlauer Berg,https://www.google.com/maps/place/Blank+Cosmetic+-+Kosmetikstudio+Prenzlauer+Berg/data=!4m7!3m6!1s0x47a85200cb5d31f7:0xcee1a90f08be00be!8m2!3d52.547105!4d13.41857!16s%2Fg%2F1ttq13zt!19sChIJ9zFdywBSqEcRvgC-CA-p4c4?authuser=0&hl=en&rclk=1
LUSH Cosmetics Leipzig,https://www.google.com/maps/place/LUSH+Cosmetics+Leipzig/data=!4m7!3m6!1s0x47a6f824343d343b:0xfd77c611b4f06046!8m2!3d51.3373102!4d12.3751404!16s%2Fg%2F1w2yygvy!19sChIJOzQ9NCT4pkcRRmDwtBHGd_0?authuser=0&hl=en&rclk=1
Lush,https://www.google.com/maps/place/Lush/data=!4m7!3m6!1s0x47b074b07b4c82a5:0x1aa65f1261532479!8m2!3d52.37414!4d9.7376!16s%2Fg%2F11cn5n6vnb!19sChIJpYJMe7B0sEcReSRTYRJfpho?authuser=0&hl=en&rclk=1
SEPHORA CORNER KASSEL,https://www.google.com/maps/place/SEPHORA+CORNER+KASSEL/data=!4m7!3m6!1s0x47bb3f60ed1fe719:0x7b4d7b7f5b58ac5d!8m2!3d51.313576!4d9.493553!16s%2Fg%2F11h4nptdlg!19sChIJGecf7WA_u0cRXaxYW397TXs?authuser=0&hl=en&rclk=1
Aesop,https://www.google.com/maps/place/Aesop/data=!4m7!3m6!1s0x47a850fbfd35923b:0xc90f9f9cc4323098!8m2!3d52.5023455!4d13.3275829!16s%2Fg%2F11bv1961lk!19sChIJO5I1_ftQqEcRmDAyxJyfD8k?authuser=0&hl=en&rclk=1
LUSH Cosmetics Braunschweig,https://www.google.com/maps/place/LUSH+Cosmetics+Braunschweig/data=!4m7!3m6!1s0x47aff676f99c9c61:0x83bc6749d9bf204c!8m2!3d52.262536!4d10.5209213!16s%2Fg%2F1hc13sfdd!19sChIJYZyc-Xb2r0cRTCC_2UlnvIM?authuser=0&hl=en&rclk=1
Rituals,https://www.google.com/maps/place/Rituals/data=!4m7!3m6!1s0x47b074b068975d61:0x18f313393f039cb3!8m2!3d52.3740982!4d9.7385434!16s%2Fg%2F1ptykctn7!19sChIJYV2XaLB0sEcRs5wDPzkT8xg?authuser=0&hl=en&rclk=1
AGA COSMETICS Agnieszka Leppich,https://www.google.com/maps/place/AGA+COSMETICS+Agnieszka+Leppich/data=!4m7!3m6!1s0x47b00a4bad5ab88b:0xd36a1ffed198762b!8m2!3d52.3339977!4d9.8200655!16s%2Fg%2F11d_ttny4y!19sChIJi7harUsKsEcRK3aY0f4fatM?authuser=0&hl=en&rclk=1
L'OCCITANE EN PROVENCE,https://www.google.com/maps/place/L%27OCCITANE+EN+PROVENCE/data=!4m7!3m6!1s0x47a850fbeca374dd:0x5458b6a524b5138a!8m2!3d52.502421!4d13.326239!16s%2Fg%2F1tfllgfk!19sChIJ3XSj7PtQqEcRihO1JKW2WFQ?authuser=0&hl=en&rclk=1
